hgnc_symbol	log2FoldChange	pvalue	padj	ensembl_gene_id_version	chromosome_name	start_position	end_position	strand
ATP2B3	-2.45314993775721	1.31094591321546e-14	9.73061601796361e-14	ENSG00000067842.18	X	153517642	153582939	+
ACSL4	-1.08777168021218	8.13502131587854e-23	1.88469385511077e-21	ENSG00000068366.21	X	109624244	109733403	-
REEP1	-1.1581464239398	1.13055198914182e-16	1.17413181128627e-15	ENSG00000068615.20	2	86213993	86338083	-
PYGM	-1.25848185164929	8.9687229847916e-10	4.16145275405598e-09	ENSG00000068976.14	11	64746389	64759974	-
PITX1	-1.0878520472893	7.78686773773424e-11	4.11066259846015e-10	ENSG00000069011.16	5	135027734	135034813	-
TRPC7	1.73516205834178	8.04167418963317e-09	3.05931469871727e-08	ENSG00000069018.19	5	136212745	136365545	-
GAL	1.73894348953865	1.12852089967276e-29	5.75171596935231e-28	ENSG00000069482.7	11	68683779	68691175	+
TGFBR3	-1.65256374339957	2.99072231974518e-40	3.95735881571358e-38	ENSG00000069702.11	1	91680343	91906335	-
FGF10	-1.61622589782134	3.62415023056196e-19	4.96918041667759e-18	ENSG00000070193.5	5	44300247	44389706	-
FGF22	1.09880352330873	3.69476591421606e-12	2.170619017958e-11	ENSG00000070388.12	19	639879	644373	+
ST6GALNAC2	-1.63987242482765	4.22791037606034e-20	6.54112328639182e-19	ENSG00000070731.11	17	76565377	76586956	-
CHAT	3.10191497924929	0.000103338322782874	0.00022349562936186	ENSG00000070748.19	10	49609095	49667942	+
CAMK2A	-1.16992995596441	1.36473011030798e-09	5.82675319248376e-09	ENSG00000070808.17	5	150219491	150290093	-
EPHA8	2.35952538123895	1.90640047719353e-29	9.89847085427017e-28	ENSG00000070886.12	1	22563489	22603595	+
TRPM5	-3.2286087493472	2.16305874087352e-27	8.98979845190788e-26	ENSG00000070985.14	11	2404515	2444514	-
TRIP13	1.17003447132403	7.12449096198103e-19	9.72701547244058e-18	ENSG00000071539.14	5	892884	919357	+
LIMS2	-1.12297852235439	1.47331796528998e-13	1.03605285908778e-12	ENSG00000072163.20	2	127638381	127681786	-
SPEG	-1.12504356327791	1.56343416333716e-13	1.0877334675538e-12	ENSG00000072195.15	2	219434843	219493629	+
HMMR	1.35820158327325	1.13239552291003e-15	9.89275677944255e-15	ENSG00000072571.20	5	163460203	163491941	+
TRHDE	-1.6579248582493	5.67132524346299e-19	7.55633096424517e-18	ENSG00000072657.10	12	72087266	72670758	+
IRAG1	-1.26945223320624	9.78203998123987e-18	1.16782254549635e-16	ENSG00000072952.20	11	10573091	10693988	-
CYP2W1	-1.2277835561044	3.35435337115039e-08	1.16555126023064e-07	ENSG00000073067.14	7	983181	989640	+
MOV10L1	2.21300102762791	1.06373562084609e-25	3.42515166984079e-24	ENSG00000073146.16	22	50089879	50161690	+
TP63	-1.77986214370289	1.67267377398148e-15	1.52058654539962e-14	ENSG00000073282.14	3	189631389	189897276	+
FERMT2	-1.32630671771267	1.56529826235181e-33	1.12981841176242e-31	ENSG00000073712.15	14	52857268	52952435	-
CD5L	4.0767797692531	0.000210372508020377	0.000424759568993593	ENSG00000073754.6	1	157830911	157898256	-
PTGS2	-3.01491087957539	2.68721787696335e-39	3.18096047456662e-37	ENSG00000073756.13	1	186671791	186680922	-
IGF2BP2	-1.01469569038656	3.83905752545403e-10	1.75829590285794e-09	ENSG00000073792.16	3	185643130	185825042	-
ATP2A3	-1.15271810570755	1.30934468885489e-15	1.1645910972822e-14	ENSG00000074370.18	17	3923870	3964464	-
CA12	-1.48522422867411	3.75882859871642e-20	6.17790727385446e-19	ENSG00000074410.14	15	63321378	63381846	-
WSCD2	-1.45164308253427	1.50091426921853e-15	1.33992355435987e-14	ENSG00000075035.10	12	108129288	108250537	+
TACR2	-1.07673544452335	7.51393718465463e-11	3.76876573206379e-10	ENSG00000075073.16	10	69403903	69416918	-
SEMA3A	-1.63925825203896	3.40660723234044e-20	5.33137144089487e-19	ENSG00000075213.11	7	83955777	84492724	-
GTSE1	1.50367385022732	6.95179535786783e-29	3.2981089935077e-27	ENSG00000075218.19	22	46296870	46330810	+
SEC31B	1.07562740553305	4.70716395880898e-14	3.71830989184432e-13	ENSG00000075826.17	10	100486646	100519864	-
PAX2	-4.08804144751839	1.27700965132497e-57	3.86303778716475e-55	ENSG00000075891.23	10	100735396	100829944	+
REXO2	1.11669459936033	6.33947269961791e-21	1.17678844311949e-19	ENSG00000076043.11	11	114439435	114450279	+
RGS11	1.77607834523932	2.83248512001627e-26	9.80068767282044e-25	ENSG00000076344.16	16	268301	275980	-
SPAG5	1.17723455619637	6.85887672679763e-19	1.00003143105496e-17	ENSG00000076382.17	17	28577565	28599025	-
ACACB	-1.05652525173561	1.26100567359679e-22	2.78096247079774e-21	ENSG00000076555.16	12	109116587	109268226	+
MCAM	-1.05548469892549	2.20705082979181e-16	2.1160114081341e-15	ENSG00000076706.17	11	119308529	119321521	-
RAP1GAP	1.32825172360775	5.7244935723548e-26	1.8893022778802e-24	ENSG00000076864.21	1	21596221	21669357	-
CTTNBP2	-1.47475326874483	3.93088017548648e-27	1.57687252262398e-25	ENSG00000077063.11	7	117710651	117874139	-
ACTL6B	1.21422808599954	0.00671817638058325	0.0107258369811773	ENSG00000077080.10	7	100643097	100656448	-
PPP1R12B	-1.28997580116755	9.94349410561859e-23	2.16369237034553e-21	ENSG00000077157.22	1	202348699	202592706	+
PAK3	-1.80069345508968	2.28788432139171e-28	1.07664855973863e-26	ENSG00000077264.16	X	110944285	111227361	+
CAPN6	-2.15764207001678	7.90901642511581e-21	1.49809073090857e-19	ENSG00000077274.9	X	111245099	111270483	-
FKBP6	1.1015883372857	7.84109722146482e-06	1.94087220007608e-05	ENSG00000077800.13	7	73328161	73358637	+
SMC1B	1.08431169720796	3.8229791053818e-10	1.69388539464218e-09	ENSG00000077935.17	22	45344063	45413619	-
AMPH	-1.11333771644785	1.10706656247603e-15	9.7378179828666e-15	ENSG00000078053.17	7	38383704	38631420	-
RBFOX1	-1.59846841827542	1.40164162197251e-12	8.73708062966623e-12	ENSG00000078328.23	16	5239802	7713340	+
ADCYAP1R1	-1.53768829166258	1.72125315763063e-14	1.29064314029806e-13	ENSG00000078549.15	7	31052308	31111479	+
TNS1	-1.40234519723838	2.60196003216421e-23	6.31816851369813e-22	ENSG00000079308.20	2	217799588	218033982	-
PTPRH	-1.57593664015806	3.7275122768232e-13	2.38912637896763e-12	ENSG00000080031.10	19	55181247	55209506	-
SCTR	-1.31824370930292	7.51632865919778e-10	2.55780168173402e-09	ENSG00000080293.10	2	119439843	119525301	-
SLC4A4	1.07174716002126	3.28562203327027e-09	1.37942097411229e-08	ENSG00000080493.18	4	71062667	71572087	+
DNAAF6	2.00586035651119	0.00014669013317023	0.000321278315607407	ENSG00000080572.14	X	107206611	107244247	+
CPB2	-1.96946393191219	1.04908223036689e-14	8.02769672681301e-14	ENSG00000080618.17	13	46053186	46105033	-
KCNN2	1.04858184967948	3.86566580691131e-09	1.58449153101476e-08	ENSG00000080709.16	5	114055926	114496500	+
AFP	2.48035781285694	7.38568376618997e-10	3.15311884370325e-09	ENSG00000081051.8	4	73431138	73456174	+
CDH7	1.04058175513804	2.53886642922525e-06	7.62742588657291e-06	ENSG00000081138.14	18	65750252	65890337	+
SLC13A1	1.16753738279873	0.00352295433152914	0.00588998938349672	ENSG00000081800.9	7	123113531	123199972	-
PCDHA6	1.09339941090354	0.000293913350793808	0.000619002478803077	ENSG00000081842.18	5	140827958	141012347	+
PGR	-1.50288127463967	2.07536016382178e-21	4.21386466942165e-20	ENSG00000082175.16	11	101029624	101129813	-
C1QTNF3	1.38474996404225	2.88825711010345e-06	7.8705794394915e-06	ENSG00000082196.21	5	34017858	34043213	-
COL19A1	-1.33204280343264	6.7291472438589e-06	1.72113671845369e-05	ENSG00000082293.13	6	69866556	70212468	+
TRPM3	-2.28747145301245	4.65350502445416e-30	2.44523190431446e-28	ENSG00000083067.24	9	70529060	71446904	-
P2RX5	1.70614475685951	5.46081037545825e-22	1.0958986505165e-20	ENSG00000083454.22	17	3672199	3696240	-
GSTP1	-2.05064737259855	3.05699542319485e-35	2.90826459984871e-33	ENSG00000084207.18	11	67583742	67586656	+
SLCO1A2	1.79210138574981	1.21595541475857e-22	2.77664931816227e-21	ENSG00000084453.17	12	21264600	21419594	-
NKAIN1	2.18340261760153	5.472292963452e-17	5.87694490110769e-16	ENSG00000084628.10	1	31179745	31239887	-
APOB	-1.28486830621601	9.088168603069e-09	3.38034616589226e-08	ENSG00000084674.15	2	21001429	21044073	-
MECOM	-1.44852190073475	2.89075692080876e-27	1.18629505299001e-25	ENSG00000085276.19	3	169083499	169663775	-
AKR1B1	-3.89175905149309	3.67540329151719e-127	1.36651481009805e-123	ENSG00000085662.14	7	134442356	134459284	-
FOLH1	1.61551379417153	2.93491502776781e-17	3.22651972019587e-16	ENSG00000086205.18	11	49145092	49208638	-
HBQ1	3.10018119862079	1.41359924501741e-16	1.41055861994257e-15	ENSG00000086506.3	16	180459	181179	+
CEACAM6	-1.43281433075721	1.06585367251792e-09	4.71498508101985e-09	ENSG00000086548.9	19	41750977	41772211	+
FAT2	-1.83858569452389	6.17735128645106e-19	8.70575402652899e-18	ENSG00000086570.13	5	151504092	151591331	-
PPEF1	1.15390400581198	6.2080990000184e-12	3.41677385564474e-11	ENSG00000086717.19	X	18675909	18827921	+
NOX4	1.96545641364806	1.98907631083568e-24	5.40169754875742e-23	ENSG00000086991.13	11	89324353	89498187	-
LPCAT2	-1.8432183616427	2.59045679662237e-51	6.60893981635882e-49	ENSG00000087253.13	16	55509072	55586666	+
GNAO1	-2.48728020969117	5.00407413820996e-53	1.37306528424475e-50	ENSG00000087258.16	16	56191390	56357444	+
TPX2	1.47123819486751	1.59852357041171e-18	2.12931196685117e-17	ENSG00000088325.16	20	31739271	31801805	+
DOCK3	-1.35369196127051	1.0530566900411e-19	1.54767371594702e-18	ENSG00000088538.13	3	50674927	51384198	+
TMEM40	-1.70275817212179	1.37690936717336e-13	9.23514971680235e-13	ENSG00000088726.16	3	12733528	12769457	-
SLC4A11	-1.02135688510037	1.91106411644499e-13	1.39626714378229e-12	ENSG00000088836.14	20	3227417	3239559	-
DNAAF9	-1.15245911333605	1.13115263529199e-33	8.90059134609784e-32	ENSG00000088854.13	20	3249306	3407669	-
TBX5	-1.6636621486749	2.82773563811912e-13	1.84230372861588e-12	ENSG00000089225.20	12	114353911	114408442	-
NOS1	-1.48741659599434	2.47814334168243e-12	1.50095106115967e-11	ENSG00000089250.20	12	117208142	117452170	-
HEPH	-1.219411431003	3.5823885855744e-18	4.54346185723162e-17	ENSG00000089472.18	X	66162671	66268867	+
KCNH4	-1.31962410480501	4.7231381287322e-17	4.99086015748917e-16	ENSG00000089558.9	17	42156891	42181142	-
BIRC5	1.88176650116819	1.86562893138801e-24	5.61851282452749e-23	ENSG00000089685.15	17	78214186	78225636	+
IRAK3	-1.10962486602736	1.01373245395832e-18	1.35161148053268e-17	ENSG00000090376.11	12	66189195	66254622	+
THPO	1.43093602225952	1.48525807586659e-14	1.12280546294185e-13	ENSG00000090534.20	3	184371935	184381968	-
CHRD	1.12672773935583	4.6677105241219e-13	3.09791967705508e-12	ENSG00000090539.15	3	184380073	184390736	+
CERS4	1.01116367223967	4.49702278330196e-27	1.79398380607148e-25	ENSG00000090661.12	19	8206736	8262421	+
EFNB1	-1.28757445379387	2.75866622401838e-38	3.34324827584117e-36	ENSG00000090776.6	X	68829021	68842160	+
KIF4A	1.71665151144412	1.4016543528793e-20	2.55217905241859e-19	ENSG00000090889.12	X	70290104	70420886	+
DLL3	1.98187183964289	1.37979074206014e-17	1.53608713579553e-16	ENSG00000090932.11	19	39498895	39508481	+
NRCAM	-1.23902431228206	2.19718936434336e-08	8.26227548779117e-08	ENSG00000091129.22	7	108147623	108456717	-
SLC26A3	-4.68937448344548	8.24160723996375e-36	8.12500672605337e-34	ENSG00000091138.13	7	107765467	107803225	-
IL5RA	1.78692897763173	9.64896301004931e-10	4.22952616855269e-09	ENSG00000091181.20	3	3066324	3126613	-
MAP3K20	-1.17736981750936	3.0036221250255e-23	7.18834944312711e-22	ENSG00000091436.17	2	173075435	173268015	+
APOH	2.83087021194923	5.51661413420899e-07	1.69747415538504e-06	ENSG00000091583.11	17	66212033	66256525	-
PITPNM3	-1.05150007630728	1.70557621335604e-18	2.15171397663252e-17	ENSG00000091622.16	17	6451263	6556555	-
ORC6	1.00685093609337	5.83589343209793e-13	3.82640809607901e-12	ENSG00000091651.9	16	46689643	46698394	+
ZFHX4	-1.16650068357734	1.82038696350943e-11	1.04454376696723e-10	ENSG00000091656.19	8	76681239	76867281	+
CPA1	-1.19971498121206	5.33652122419459e-08	1.80189327170884e-07	ENSG00000091704.10	7	130380339	130388114	+
CD200	-1.19339800207049	1.24686215710434e-17	1.46056491700761e-16	ENSG00000091972.18	3	112332347	112362812	+
CCDC80	-1.18469005568183	1.46222841118589e-13	1.02191065806814e-12	ENSG00000091986.16	3	112596797	112649530	-
JPH4	-2.0369282931723	4.1953047117434e-25	1.35775367631509e-23	ENSG00000092051.18	14	23568038	23578790	-
RPGRIP1	1.07830641566816	9.80582434658084e-19	1.31025263740872e-17	ENSG00000092200.13	14	21280083	21351301	+
TGM1	-1.29993652655224	1.21452722363892e-15	1.05834888846515e-14	ENSG00000092295.12	14	24249114	24264432	-
CDC45	1.3173955017937	4.15530646770711e-16	3.97086752001251e-15	ENSG00000093009.11	22	19479457	19520612	+
GABRP	-1.0527974448926	4.48043959535781e-06	1.22595472371469e-05	ENSG00000094755.17	5	170763350	170814047	+
DHPS	1.35400289882988	1.02353159535634e-18	1.32114072429735e-17	ENSG00000095059.17	19	12675717	12681880	-
PTGS1	-2.49813980302227	9.36969727784029e-38	1.07395626475845e-35	ENSG00000095303.17	9	122370530	122395703	+
CYP26A1	1.78937872060726	0.00491104115566283	0.00852921862646646	ENSG00000095596.12	10	93073475	93077885	+
TDRD1	2.89100805485746	4.76516636285461e-24	1.35275186587138e-22	ENSG00000095627.10	10	114179270	114232666	+
SORBS1	-1.51971111531345	9.47710339843258e-22	1.82314230906478e-20	ENSG00000095637.23	10	95311771	95561414	-
CRTAC1	-4.31328483143007	2.17906001779277e-93	2.59139611099363e-90	ENSG00000095713.14	10	97865000	98030828	-
IL11	1.29766364997103	1.55229017709867e-15	1.38177709337822e-14	ENSG00000095752.7	19	55364382	55370463	-
MYO3A	-1.31329486256648	1.9804999473509e-09	8.01065383321342e-09	ENSG00000095777.17	10	25934229	26212532	+
PGC	-1.7237345028219	3.12651856266484e-08	1.14377098343641e-07	ENSG00000096088.16	6	41736711	41754109	-
PRTFDC1	-1.11538722400549	4.44670708957672e-19	6.23042051199038e-18	ENSG00000099256.19	10	24848614	24952606	-
HSD3B7	1.02355225635355	1.70950046672394e-15	1.60075637266792e-14	ENSG00000099377.14	16	30985207	30989147	+
EFNA2	3.00915421252852	1.5044943648519e-28	6.85145051153828e-27	ENSG00000099617.4	19	1285873	1301431	+
AMELY	1.19495893627338	9.09527643713983e-09	3.43774123710278e-08	ENSG00000099721.16	Y	6865918	6911752	-
