mirbase_id	log2FoldChange	pvalue	padj	ensembl_gene_id_version	chromosome_name	start_position	end_position	strand
hsa-mir-191	0.863978769941073	3.21853215996684e-24	9.5483120745683e-23	ENSG00000207605.3	3	49020618	49020709	-
hsa-mir-196a-1	-0.841449097806723	6.00148335934955e-06	4.18444438833911e-05	ENSG00000210741.1	17	48632490	48632559	-
hsa-mir-196a-2	-0.549874987845991	0.0022069566240308	0.0109839650399954	ENSG00000207924.3	12	53991738	53991847	+
hsa-mir-197	0.581566035851438	1.00969749600593e-14	1.77636315285695e-13	ENSG00000284443.1	1	109598893	109598967	+
hsa-mir-19a	1.02334403909204	4.1298352171983e-16	7.71412430076671e-15	ENSG00000284204.1	13	91350891	91350972	+
hsa-mir-19b-1	1.2282666127688	5.66839391573625e-31	2.85875999816965e-29	ENSG00000284375.1	13	91351192	91351278	+
hsa-mir-19b-2	1.26746736689802	8.32335082357494e-32	4.3424930331272e-30	ENSG00000284107.1	X	134169671	134169766	-
hsa-mir-200c	1.54391466371314	2.48473464093724e-48	9.39850877934513e-46	ENSG00000207713.3	12	6963699	6963766	+
hsa-mir-203a	0.512279778193225	2.02162413346426e-06	1.52174990742857e-05	ENSG00000207568.1	14	104117405	104117514	+
hsa-mir-203b	-1.52567574715297	1.0879374946014e-11	1.5101370911302e-10	ENSG00000283165.1	14	104117418	104117503	-
hsa-mir-204	-1.94943954697471	7.79657063200972e-42	1.07238285147552e-39	ENSG00000207935.3	9	70809975	70810084	-
hsa-mir-205	-0.989750833821433	1.41189593185644e-06	1.12431502363095e-05	ENSG00000284485.1	1	209432133	209432242	+
hsa-mir-20a	1.61097071090994	9.03421601575405e-46	2.27812813863931e-43	ENSG00000283762.1	13	91351065	91351135	+
hsa-mir-20b	1.25206493230456	9.22942710995929e-18	1.91289359142033e-16	ENSG00000284043.1	X	134169809	134169877	-
hsa-mir-21	0.831647145841884	1.25151944854356e-13	2.10394325071823e-12	ENSG00000284190.1	17	59841266	59841337	+
hsa-mir-210	1.24866188469265	7.5962818830357e-09	7.66211632602201e-08	ENSG00000199038.1	11	568089	568198	-
hsa-mir-2115	1.89879635442969	1.27149932575292e-05	8.43762491168494e-05	ENSG00000252466.1	3	48316360	48316459	-
hsa-mir-212	-0.973889058050544	1.61246476498892e-21	4.13501557530209e-20	ENSG00000267195.1	17	2050271	2050380	-
hsa-mir-215	-0.698318005542616	8.88668557210601e-07	7.15189110138106e-06	ENSG00000207590.1	1	220117853	220117962	-
hsa-mir-221	-1.52875093548071	4.16624576867865e-38	3.93970615500675e-36	ENSG00000207870.1	X	45746157	45746266	-
hsa-mir-222	-1.20840814205101	3.68017930683742e-28	1.59088894035572e-26	ENSG00000207725.3	X	45747015	45747124	-
hsa-mir-23a	-0.772159480591404	6.4882502634311e-26	2.3943225972125e-24	ENSG00000207980.1	19	13836587	13836659	-
hsa-mir-23b	-0.970084184357693	5.35113652400821e-40	5.78304968630316e-38	ENSG00000207563.1	9	95085208	95085304	+
hsa-mir-23c	-3.08417354221871	3.3916283833625e-33	2.13813906001144e-31	ENSG00000264566.3	X	20017088	20017187	-
hsa-mir-24-1	-0.812762766081861	9.69589446651256e-26	3.41160193670547e-24	ENSG00000284459.1	9	95086021	95086088	+
hsa-mir-24-2	-0.810802633692143	6.5787723880693e-25	2.07368387982268e-23	ENSG00000284387.1	19	13836287	13836359	-
hsa-mir-25	1.01295609656218	1.49202645718863e-36	1.18812422617179e-34	ENSG00000207547.1	7	100093560	100093643	-
hsa-mir-26a-1	-0.658865615726954	2.70178155203928e-22	7.17157103199197e-21	ENSG00000199075.1	3	37969404	37969480	+
hsa-mir-26a-2	-0.662037261407953	1.00012956792948e-22	2.70213577906661e-21	ENSG00000207789.1	12	57824609	57824692	-
hsa-mir-27a	-0.760347581991516	3.74962748070898e-25	1.20706093155589e-23	ENSG00000207808.1	19	13836440	13836517	-
hsa-mir-27b	-1.02580561499935	2.51167949671731e-47	7.60034215706659e-45	ENSG00000207864.3	9	95085445	95085541	+
hsa-mir-296	-1.09758554064353	8.67122850068779e-12	1.23769516240949e-10	ENSG00000284040.1	20	58817615	58817694	-
hsa-mir-299	-0.786751125843975	9.36172445028898e-12	1.31150824937845e-10	ENSG00000207749.4	14	101023794	101023856	+
hsa-mir-29a	-0.570365463221028	7.94279355701507e-17	1.52119577870428e-15	ENSG00000284032.1	7	130876747	130876810	-
hsa-mir-3065	0.794591820322119	9.26014310782361e-09	9.15725262884779e-08	ENSG00000211563.4	17	81125877	81125955	+
hsa-mir-3074	1.80920593563915	2.66243498710708e-29	1.22068610166455e-27	ENSG00000207617.4	9	95086014	95086094	-
hsa-mir-30b	0.708570895484919	1.87090199290768e-11	2.48304799585029e-10	ENSG00000207582.1	8	134800520	134800607	-
hsa-mir-31	-0.566598300025496	0.00101395876259261	0.0053268041937591	ENSG00000199177.1	9	21512115	21512185	-
hsa-mir-3130-1	-0.526718327064535	0.000870147553273726	0.00463568045106742	ENSG00000263468.1	2	206783234	206783308	+
hsa-mir-3130-1	-0.526718327064535	0.000870147553273726	0.00463568045106742	ENSG00000283469.1	2	206783234	206783308	-
hsa-mir-3130-2	-0.697568984943218	1.46873716717319e-05	9.5784454048838e-05	ENSG00000263468.1	2	206783234	206783308	+
hsa-mir-3130-2	-0.697568984943218	1.46873716717319e-05	9.5784454048838e-05	ENSG00000283469.1	2	206783234	206783308	-
hsa-mir-3152	1.2475097222856	0.0016548888198678	0.00840217041765095	ENSG00000264638.1	9	18573306	18573379	+
hsa-mir-3154	-1.25682481094972	0.0105030017274636	0.0471544261532711	ENSG00000264823.3	9	128244947	128245030	-
hsa-mir-3170	1.52498604409439	2.47035468258608e-08	2.33602914672047e-07	ENSG00000263399.1	13	98208524	98208600	+
hsa-mir-3189	3.04538138170664	4.41845852516437e-05	0.000276244948288169	ENSG00000264175.1	19	18386562	18386634	+
hsa-mir-3193	-0.995533930369979	0.000170422856800327	0.00101916910015373	ENSG00000264395.1	20	31607186	31607240	+
hsa-mir-323a	-1.04949168116888	7.91988546502245e-13	1.23533883593598e-11	ENSG00000199069.3	14	101025732	101025817	+
hsa-mir-323b	-2.46375334518352	4.3035307676409e-33	2.60449682057627e-31	ENSG00000208004.2	14	101056219	101056300	+
hsa-mir-326	-1.06708853194099	6.85706468056042e-15	1.22055751313975e-13	ENSG00000199090.1	11	75335092	75335186	-
hsa-mir-330	-0.841798965500455	4.47535096011533e-17	8.90948158244013e-16	ENSG00000284544.1	19	45638994	45639087	-
hsa-mir-331	-0.927311858850289	1.18216006722316e-12	1.78860818170864e-11	ENSG00000199172.3	12	95308420	95308513	+
hsa-mir-33b	-0.804495598920991	2.16055275353149e-05	0.000138513403224286	ENSG00000207839.1	17	17813836	17813931	-
hsa-mir-342	0.864195510713029	1.08265810751599e-30	5.28407005377965e-29	ENSG00000199082.1	14	100109655	100109753	+
hsa-mir-3614	1.2526645589857	2.68221643060246e-07	2.27988396601209e-06	ENSG00000284542.1	17	56891270	56891355	-
hsa-mir-362	0.622502829997851	1.7597974355058e-08	1.69590670058616e-07	ENSG00000208015.1	X	50008964	50009028	+
hsa-mir-3622a	-1.02557394207382	1.29645169771946e-07	1.16066947849085e-06	ENSG00000284351.1	8	27701677	27701759	+
hsa-mir-363	0.64888119685395	8.93334165287866e-08	8.14225657879844e-07	ENSG00000284499.1	X	134169378	134169452	-
hsa-mir-3651	2.60940700356485	1.3311796979962e-15	2.45618888179055e-14	ENSG00000281156.1	9	92292458	92292547	-
hsa-mir-3664	1.45598266979202	2.67036582769304e-06	1.96129295985416e-05	ENSG00000263744.1	11	70872270	70872368	-
hsa-mir-3677	-0.631405259368366	1.76517764132787e-07	1.54376518573934e-06	ENSG00000266643.1	16	2270713	2270772	+
hsa-mir-369	-0.745272861388889	1.13225446801027e-12	1.73040506070661e-11	ENSG00000199025.4	14	101065598	101065667	+
hsa-mir-370	-0.665516783563786	5.66134379183466e-13	9.01643490215351e-12	ENSG00000199005.4	14	100911139	100911213	+
hsa-mir-375	2.28380004902825	6.37848163156545e-45	1.37866324407979e-42	ENSG00000198973.4	2	219001645	219001708	-
hsa-mir-376a-2	-0.626347194987411	0.00047889345958014	0.00269355317600279	ENSG00000283561.1	14	101040069	101040148	+
hsa-mir-377	-0.725392958839245	4.35002999514042e-11	5.62529519884398e-10	ENSG00000199015.4	14	101062050	101062118	+
hsa-mir-378a	-0.91500799799171	2.74538332972453e-16	5.19220622234151e-15	ENSG00000199047.3	5	149732825	149732890	+
hsa-mir-378c	-1.19007799055562	8.11105605561641e-30	3.83500869129613e-28	ENSG00000264803.1	10	130962588	130962668	-
hsa-mir-378d-1	-2.05359434340181	1.74191992693992e-27	7.12304013367593e-26	ENSG00000263631.1	4	5923275	5923328	-
hsa-mir-378d-2	-1.84017261573505	7.56186194838161e-26	2.72407074473842e-24	ENSG00000284288.1	8	93916022	93916119	-
hsa-mir-379	-0.886353739393624	8.99956695598154e-18	1.89115900061112e-16	ENSG00000199088.5	14	101022066	101022132	+
hsa-mir-380	-0.669787600877245	2.58548777573182e-06	1.908216099845e-05	ENSG00000198982.4	14	101025017	101025077	+
hsa-mir-381	-0.990400824556551	2.69808033145938e-24	8.16439108299607e-23	ENSG00000199020.3	14	101045920	101045994	+
hsa-mir-383	-0.631594492054819	0.00105010719343743	0.00549762001270185	ENSG00000199127.1	8	14853438	14853510	-
hsa-mir-3943	-0.695004257233664	2.6096467118094e-05	0.000165898969536455	ENSG00000264069.3	7	43150895	43150994	+
hsa-mir-410	-0.781147098220674	4.04061864288361e-14	7.02696092722173e-13	ENSG00000199092.4	14	101065912	101065991	+
hsa-mir-411	-0.719268771475164	7.51513936098298e-11	9.44590414329183e-10	ENSG00000199109.4	14	101023325	101023420	+
hsa-mir-412	-0.52060899663767	0.0067831249473837	0.0312892318457059	ENSG00000199012.2	14	101065447	101065537	+
hsa-mir-423	0.844260655298464	1.40270653298695e-35	1.06114749220463e-33	ENSG00000283935.1	17	30117079	30117172	+
hsa-mir-423	0.844260655298464	1.40270653298695e-35	1.06114749220463e-33	ENSG00000266919.3	17	30117079	30117172	-
hsa-mir-424	-0.555140401419107	9.50355075016221e-06	6.41913941294439e-05	ENSG00000284231.1	X	134546614	134546711	-
hsa-mir-425	1.15138184853689	1.07997323471674e-25	3.71363523665097e-24	ENSG00000199032.1	3	49020148	49020234	-
hsa-mir-431	-0.572199721898007	1.79318699068211e-06	1.37287129512065e-05	ENSG00000208001.1	14	100881007	100881120	+
hsa-mir-432	-0.785820497484594	2.91863252789421e-13	4.74826990828381e-12	ENSG00000272458.1	14	100884483	100884576	+
hsa-mir-4326	1.06500245465985	3.68803135065946e-08	3.44443915651097e-07	ENSG00000266104.1	20	63286808	63286866	+
hsa-mir-4442	-0.885986299674799	0.00386294265598389	0.0184956716408343	ENSG00000283971.1	3	25664873	25664939	-
hsa-mir-4443	-0.986756377130086	0.000279014993950243	0.00161743174653915	ENSG00000265483.1	3	48196564	48196616	+
hsa-mir-4449	2.84781975362104	2.20167025735258e-10	2.60244304638629e-09	ENSG00000264585.1	4	52712682	52712747	+
hsa-mir-4473	0.872351337613665	0.000898601380748287	0.0047704697862181	ENSG00000263790.1	9	20411148	20411238	-
hsa-mir-449a	3.56236734750179	1.63596612382306e-11	2.21001495120026e-10	ENSG00000198983.1	5	55170532	55170622	-
hsa-mir-449b	2.71479956892666	0.00311873064670232	0.0151724741751145	ENSG00000207728.1	5	55170646	55170742	-
hsa-mir-4501	1.21040954439824	0.00106233410327016	0.00554245344223361	ENSG00000283487.1	13	96427229	96427292	+
hsa-mir-450b	-1.26068896974571	7.27770073232378e-18	1.55086777577548e-16	ENSG00000216001.3	X	134540185	134540262	-
hsa-mir-451a	-0.969712811259689	7.74587031092904e-09	7.76125945724215e-08	ENSG00000284565.1	17	28861369	28861440	-
hsa-mir-452	-0.898264776527229	9.55545066751103e-18	1.95370227837084e-16	ENSG00000283751.1	X	151959628	151959712	-
hsa-mir-454	0.561492715234758	1.20509377071651e-09	1.35059768525487e-08	ENSG00000211514.1	17	59137758	59137872	-
hsa-mir-455	-0.664200083289684	1.12670195967606e-09	1.27216422760439e-08	ENSG00000207726.3	9	114209434	114209529	+
hsa-mir-4661	0.824231090286277	4.02001155147139e-07	3.28771755533849e-06	ENSG00000266194.1	8	91205485	91205559	+
hsa-mir-4664	2.14417666866293	0.000297728702822463	0.00171278907745394	ENSG00000265660.1	8	143733083	143733153	-
hsa-mir-4668	1.52379175815029	4.45585722887146e-13	7.17203402902396e-12	ENSG00000266315.1	9	111932100	111932169	+
hsa-mir-4677	0.570533438067031	7.1279418215906e-09	7.23797045373596e-08	ENSG00000265201.1	1	243346176	243346255	+
hsa-mir-4728	-0.700072608645548	0.000162632673856077	0.000980331615714124	ENSG00000265178.1	17	39726495	39726561	+
hsa-mir-4746	1.07759997271685	9.99888908730411e-11	1.22002574105573e-09	ENSG00000266437.1	19	4445978	4446048	+
hsa-mir-4770	-1.35769502344006	1.50475155967721e-06	1.17963166310447e-05	ENSG00000265284.1	X	6383906	6383963	-
hsa-mir-4786	-1.01501071509548	2.00546175583488e-12	3.00422142235462e-11	ENSG00000264279.1	2	239943015	239943094	-
hsa-mir-4787	-0.68637012689374	0.00684933773012362	0.0314986260962828	ENSG00000272543.1	3	50675080	50675163	+
hsa-mir-486-1	-1.0963600650114	3.23852488971409e-10	3.74037263979956e-09	ENSG00000274705.2	8	41660441	41660508	-
hsa-mir-486-2	-1.10501489103525	2.10121391700141e-10	2.50325720978199e-09	ENSG00000274705.2	8	41660441	41660508	-
hsa-mir-486-2	-1.10501489103525	2.10121391700141e-10	2.50325720978199e-09	ENSG00000283450.1	8	41660444	41660507	+
hsa-mir-487b	-0.698072146307389	2.74097290286753e-13	4.50770869786801e-12	ENSG00000207754.3	14	101046455	101046538	+
hsa-mir-488	-1.89157115114838	2.70505985365331e-11	3.52823755049781e-10	ENSG00000202609.4	1	177029363	177029445	-
hsa-mir-490	-2.66128436644313	6.42181265057973e-09	6.56500171643726e-08	ENSG00000207597.1	7	136903167	136903294	+
hsa-mir-491	0.551927848500187	1.79661940802306e-06	1.37287129512065e-05	ENSG00000207609.3	9	20716105	20716188	+
hsa-mir-496	-1.12200780950558	1.87547266422595e-24	5.79100028770176e-23	ENSG00000207961.3	14	101060573	101060674	+
hsa-mir-4999	-0.769129170574061	3.35105944605231e-06	2.38035349383903e-05	ENSG00000265390.1	19	8389290	8389380	-
hsa-mir-499a	-0.695826570930616	0.00801757632998527	0.03675937268869	ENSG00000207635.1	20	34990376	34990497	+
hsa-mir-5003	-0.737219972664749	0.0082637518323241	0.0376598088021276	ENSG00000265160.1	5	172662165	172662263	+
hsa-mir-500a	1.12306802907719	1.70141261023814e-32	9.53421214551966e-31	ENSG00000207785.1	X	50008431	50008514	+
hsa-mir-501	0.871155084299522	2.26991194567948e-19	5.28365657509701e-18	ENSG00000211538.1	X	50009722	50009805	+
hsa-mir-503	0.710621687809957	0.000212689869542986	0.00125213919306824	ENSG00000208005.1	X	134546328	134546398	-
hsa-mir-505	-0.51245455956064	7.5542260498236e-11	9.44590414329183e-10	ENSG00000207633.3	X	139924148	139924231	-
hsa-mir-508	1.6324056826116	3.92516748490962e-05	0.000247449100194511	ENSG00000207589.1	X	147236913	147237027	-
hsa-mir-509-3	1.13065943295764	0.00398962728535746	0.0190419750244348	ENSG00000212014.1	X	147259652	147259726	-
hsa-mir-5091	-0.911631112108883	8.19588623607347e-05	0.000499863646832457	ENSG00000266240.1	4	13627865	13627957	+
hsa-mir-514a-2	0.508830082970356	7.53155259555663e-06	5.156216776958e-05	ENSG00000207866.1	X	147281943	147282030	-
hsa-mir-514a-2	0.508830082970356	7.53155259555663e-06	5.156216776958e-05	ENSG00000207867.1	X	147284641	147284728	-
hsa-mir-5187	-0.632681499943343	0.00325872709981971	0.0158027375064975	ENSG00000284035.1	1	161227186	161227261	+
hsa-mir-541	-1.10979985447093	6.93992079134544e-07	5.64521513833637e-06	ENSG00000216179.1	14	101064495	101064578	+
hsa-mir-542	-0.702091449157687	9.34124885195037e-08	8.4630595886233e-07	ENSG00000207784.3	X	134541341	134541437	-
hsa-mir-548t	0.921432859038396	0.00114941827213708	0.0059761850369189	ENSG00000221296.2	4	173268160	173268233	+
hsa-mir-551b	-1.19990100336348	1.81242546960197e-06	1.37798981683808e-05	ENSG00000207717.1	3	168551854	168551949	+
hsa-mir-552	-1.07231834615167	0.00136607039427217	0.00703015138276802	ENSG00000207941.1	1	34669599	34669694	-
hsa-mir-5586	1.75448023969189	1.38638116734413e-25	4.66132156931483e-24	ENSG00000263629.1	14	59646962	59647020	-
hsa-mir-561	0.923879983958436	1.41744150119711e-07	1.25414560895393e-06	ENSG00000207951.1	2	188297492	188297588	+
hsa-mir-5680	0.997138889008595	1.24079974451977e-05	8.27017627074189e-05	ENSG00000266756.1	8	102125432	102125515	+
hsa-mir-5683	1.33202252006571	8.36530020053634e-11	1.03743436093537e-09	ENSG00000283616.1	6	6169334	6169409	+
hsa-mir-5687	1.22611373597319	3.09552829401547e-08	2.90902752102199e-07	ENSG00000265135.1	5	55508850	55508926	-
hsa-mir-5690	0.718141715617747	0.00528135846896695	0.024738994933582	ENSG00000265527.1	6	35664717	35664789	-
hsa-mir-5694	2.96228292526016	1.37444065095393e-13	2.28519637900361e-12	ENSG00000265993.1	14	67441855	67441930	-
hsa-mir-5696	-0.624774150192588	0.000593839589289598	0.00327912152771957	ENSG00000264857.1	2	101309450	101309534	+
hsa-mir-570	0.964766590710858	0.000240419004739586	0.00140445542150963	ENSG00000207650.1	3	195699401	195699497	+
hsa-mir-5704	5.81562622584757	4.89565343876167e-05	0.000303570641510099	ENSG00000265859.1	3	131985855	131985931	-
hsa-mir-5706	1.60455297057057	2.44608686322496e-10	2.86893753803051e-09	ENSG00000264536.1	5	119154637	119154716	+
hsa-mir-5708	0.867739548811775	0.00122354639233922	0.00631817642187454	ENSG00000265588.1	8	80241389	80241473	+
hsa-mir-576	0.582502763400556	4.9848805128355e-09	5.16583850405487e-08	ENSG00000207988.1	4	109488698	109488795	+
hsa-mir-585	-1.30283235782254	1.98970797972934e-07	1.71047055302869e-06	ENSG00000207619.1	5	169263601	169263694	-
hsa-mir-592	2.27496169558513	8.88978833599084e-12	1.2570326871359e-10	ENSG00000207692.3	7	127058088	127058184	-
hsa-mir-612	3.12992824130026	0.00173216609693216	0.00870686812178859	ENSG00000283791.1	11	65444458	65444557	+
hsa-mir-615	2.59210285441358	4.54134572677835e-18	9.81579440659378e-17	ENSG00000207571.1	12	54033950	54034045	+
hsa-mir-616	0.747501338794524	2.95545858398349e-05	0.000187096604082302	ENSG00000208028.1	12	57519163	57519259	-
hsa-mir-618	1.55760338336019	6.53770784098827e-06	4.53740915752994e-05	ENSG00000208022.1	12	80935736	80935833	-
hsa-mir-628	-0.737392344789551	2.88885297984717e-18	6.42769788015995e-17	ENSG00000283891.1	15	55372940	55373034	-
hsa-mir-629	0.7337986977017	7.2326506152196e-17	1.40795121892376e-15	ENSG00000207965.1	15	70079372	70079468	-
hsa-mir-639	-0.712005302695696	0.00279455091254273	0.0137277776970037	ENSG00000283822.1	19	14529543	14529640	+
hsa-mir-6499	-1.32295981712057	9.34774701851254e-06	6.3422158022464e-05	ENSG00000276622.1	5	151522087	151522148	-
hsa-mir-6507	-0.808699466446863	1.74387253764211e-05	0.000113239448474357	ENSG00000274056.1	10	98924499	98924568	-
hsa-mir-651	0.773609743965271	8.85886390618248e-09	8.81806650661454e-08	ENSG00000207628.3	X	8126965	8127061	+
hsa-mir-6510	-1.43714942334127	1.90249341567054e-09	2.0708435524529e-08	ENSG00000283796.1	17	41517164	41517217	-
hsa-mir-652	-1.22661547071674	1.23865942646542e-37	1.04116206235677e-35	ENSG00000208013.3	X	110055329	110055426	+
hsa-mir-654	-0.889465922913922	9.06477265547288e-19	2.07803045874704e-17	ENSG00000207934.1	14	101040219	101040299	+
hsa-mir-660	0.71545573223025	2.13375343303711e-15	3.84329636212517e-14	ENSG00000207970.3	X	50013241	50013337	+
hsa-mir-671	0.527786178149088	6.9165337592086e-08	6.3809241327333e-07	ENSG00000284191.1	7	151238421	151238538	+
hsa-mir-6718	-2.88481895046362	1.59168221680731e-23	4.45965776672121e-22	ENSG00000275518.1	18	3885353	3885432	+
